content,score
"With Bamboo, there's information, and there's communication. There's also consistent improvement, and I like that I feel in control of my money and investment. I feel motivated to invest more anytime I open the Bamboo app. Really like the fractional shares feature.",5
"This app let's you tap into investing internationally. With Bamboo, you find yourself owning shares of as many companies as you can afford to own. It's not a get rich quick platform. Rather, this is where you put your money into 'ligitimaltely' & watch it grow. I love how it allows me diversify my investments across various industries and brands. I've never had any issues since day one and I've been using it for about 2 years now. Bamboo is the best thing that happened to me finamcially.",5
"i once had issues with the fact that withdrawal takes quite long before reflecting, even with small amounts, but that isn't the case anymore cause I made some withdrawal today, and was alerted almost immediately. I would advise you get more Nigeria stocks on bamboo. Keep up the good work.",5
"First time using Bamboo and I wasn't impressed cus I couldn't add money to my account. I thought about dumping it for another app but I was happy when customer care addressed it swiftly. Now I can add money anytime, anywhere, spread my investments across different companies, and send money hassle-free. I recommend! ❤️",5
"Great user interface. Questions are taken care of promptly with concise and clear answers. The added fixed deposit and auto invest features are awesome. The team listens to suggestions and applies relevant ones to good use. The new features, Carrot partnerships, waoo! We are waiting for the seamless integration into the crypto industry.",5
"The bamboo app has an intuitive and easy-to-follow interface. It is great for buying Nigerian or US stocks and gives one the chance to convert the value of their portfolio between currencies. Now that it has also added other options such as buying T-bills and fixed securities, it is going the gamut of providing all available investment options to its customers. Only FGN Savings Bond remains to be provided on the app amongst the most popular savings options in Nigeria.",5
"Bamboo is a sure platform to for Invest your money with full confidence. Since I've been using the platform , I have no any complain about the app. Their deposit and withdrawal is top notch without a minute delay. Excellent Bamboo..",5
"Bamboo is an incredible app & the service provided is top notch but I wish it'd be better optimized for Android. I get notifications quite often but I can't access them in-app after they pop up in the notification tray, so if I swipe it off my mistake or something I've missed it and can't retrieve the information.",5
A very good app. Very easy to buy and sell stocks at real market prices. I'm mostly impressed by how responsive their customer care unit is. I've tried some Fintech apps and almost got depressed over their poor assistance.,5
"Bamboo has made my journey into the financial market really seamless. Finding everything from careful lessons to both local and foreign traded stock and being able to come into trading financial securities properly as a beginner, bamboo is the ultimate tool.",5
"Bamboo app is my top choice for buying stocks! I'm obsessed with its user-friendly interface, which makes navigating and finding the information I need a breeze. The comprehensive stock details and in-depth reports always help me make informed investment decisions. Overall, I'm thoroughly impressed with this app and highly recommend it to anyone who is interested in stock investment!",5
"Are you thinking of the right app to kick-start your investment journey, Bamboo is exactly what you need, with a wonderful user-friendly and easy to invest on your preferred stock around the world.",5
"The app works well for me, my investments are safe and each time I've had need for clarification or guide, the response has been awesome.",5
"I'm really enjoying the app. Bamboo is an incredible app, no issues, very fast and the charges are affordable with tons of stocks to buy from.",5
"perfectly fast transaction. how I wish bamboo can last in the next 10 year or more, you are guys are doing good job but commission, fees are too much high bring it down please",5
"I'm finding it difficult to get into my account, Please,I flashed my phone and reinstalled and my email proved abortive to access which lead me to change it, Please, Give access. I want to continue using the app, because of its easy and good automation process. Ezenwoke Pleasure Chetachi.",5
"Are there two Bamboo app? I got a verification email and opening the link, I was redirected to an address with "".dev"". I also got a pop up asking to install Bamboo. To my surprise, I was not redirect to Google play store but instead, it downloaded the app. The new app has white background and the three symbol on it green. I don't know which of these app is legitimate. I don't want premium tears please clarify before I delete both apps.",5
"Great Investment Tool I’ve been using Bamboo for a year now, and it’s fantastic! The interface is user-friendly, fees are low, and features make investing so easy. Customer support is responsive, though more educational content would be nice. Highly recommend for beginners and seasoned investors alike!",5
"This app has helped me in securing a brighter future in terms of investment. their services, simplicity and security are topnotch. I LOVE THIS APP, KUDOS BAMBOO 👏👏.",5
seamless and very easy to understand...especially for the newbies in the stock and investment world,5
"Bamboo is literally a a lifesaver when it comes to investing. From the In app stock courses to their excellent UI/UX and the overall best, their easy stock purchase option. I'm so in love with bamboo. 😌❤️❤️It's me and bamboo for life 🥳🎉",5
"Bamboo is such an incredible app, really convenient for all to use including newbies.",5
Easy to navigate and stock buy orders always executed promptly. It is great to have an opportunity to protect my investments against the risk of depreciation.,5
"Best investment app I have seen so far, the plans and every other thing is amazing.",5
Your user experience is the most basic I have seen. Thank you for keeping it simple for me.,5
"I like the app, straightforward and easy to use. Helps me to invest in US stocks.",5
Very easy to go with and user friendly. It's simply the best.👍👍,5
very simple and easy to understand as a newbie,5
